,index,column,importance
0,37,GJJRATE,953.0
1,1,CSNY,887.0
2,221,DWJJLX_in_DWSSHY_prop,753.0
3,3123,numsOf_GRJCJS_GRYJCE_div,562.0
4,3,DWSSHY,557.0
5,50,SNLT,476.0
6,3315,numsOf_GRZHDNGJYE_GRYJCE_div,475.0
7,46,ZHLT,455.0
8,222,DWSSHY_in_DWJJLX_prop,407.0
9,52,YJLT,394.0
10,3583,numsOf_GRZHYE_diff_GRZHSNJZYE_YEARPURINCM_div,380.0
11,3117,numsOf_GRJCJS_GRZHDNGJYE_diff,375.0
12,44,YELT,356.0
13,1411,GRJCJS_GRZHSNJZYE_std,345.0
14,220,DWJJLX_DWSSHY_count,340.0
15,39,GJJRATE_GEN3,332.0
16,1416,GRJCJS_GRZHDNGJYE_std,312.0
17,3331,numsOf_GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE_div,311.0
18,263,DWSSHY_in_YJZS_prop,297.0
19,577,GRZHZT_GRZHYE_mean,291.0
20,1461,GRJCJS_HDZYF_std,284.0
21,1767,GRYJCE_GRJCJS_max,281.0
22,3339,numsOf_GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE1_div,273.0
23,38,GJJRATE_GEN,268.0
24,1491,GRJCJS_HDSYYF_HDZYF_std,261.0
25,1426,GRJCJS_DKFFE_std,258.0
26,1781,GRYJCE_GRZHDNGJYE_std,258.0
27,3343,numsOf_GRZHDNGJYE_YEARPURINCM_div,257.0
28,1431,GRJCJS_DKYE_std,256.0
29,1456,GRJCJS_YEARPURINCM_std,256.0
30,89,DWJJLX_8,241.0
31,1776,GRYJCE_GRZHSNJZYE_std,240.0
32,1846,GRYJCE_JS_YE_std,239.0
33,1766,GRYJCE_GRJCJS_std,239.0
34,58,bornmonth,235.0
35,1471,GRJCJS_HDYF_std,230.0
36,1486,GRJCJS_JS_YE_std,229.0
37,1470,GRJCJS_HDYF_mean,228.0
38,3611,numsOf_GRZHYE_diff_GRZHSNJZYE_HDSYYF_HDZYF_div,227.0
39,1436,GRJCJS_DKLL_std,226.0
40,1796,GRYJCE_DKLL_std,225.0
41,1466,GRJCJS_HDSYYF_std,220.0
42,3371,numsOf_GRZHDNGJYE_HDSYYF_HDZYF_div,219.0
43,32,GYE_GJC,218.0
44,1446,GRJCJS_GRZHYE_diff_GRZHDNGJYE1_std,218.0
45,3187,numsOf_GRZHYE_GRZHDNGJYE_div,213.0
46,1463,GRJCJS_HDZYF_min,213.0
47,1831,GRYJCE_HDYF_std,213.0
48,1485,GRJCJS_JS_YE_mean,208.0
49,1830,GRYJCE_HDYF_mean,205.0
50,1441,GRJCJS_GRZHYE_diff_GRZHSNJZYE_std,203.0
51,1421,GRJCJS_GRYJCE_std,200.0
52,1816,GRYJCE_YEARPURINCM_std,199.0
53,1786,GRYJCE_DKFFE_std,197.0
54,1806,GRYJCE_GRZHYE_diff_GRZHDNGJYE1_std,192.0
