,index,column,importance
0,3081,numsOf_GRJCJS_GRYJCE_div,577.0
1,107,DWJJLX_in_DWSSHY_prop,290.0
2,1,CSNY,272.0
3,108,DWSSHY_in_DWJJLX_prop,246.0
4,106,DWJJLX_DWSSHY_count,183.0
5,3075,numsOf_GRJCJS_GRZHDNGJYE_diff,136.0
6,3369,numsOf_GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE_div,119.0
7,601,GRJCJS_DKFFE_multi_DKLL_ratio_std,116.0
8,3321,numsOf_GRZHDNGJYE_GRYJCE_div,107.0
9,3077,numsOf_GRJCJS_GRZHDNGJYE_div,103.0
10,981,GRYJCE_GRJCJS_std,98.0
11,982,GRYJCE_GRJCJS_max,96.0
12,581,GRJCJS_DKFFE_DKY_multi_DKLL_std,95.0
13,114,GRZHZT_in_DWSSHY_prop,94.0
14,551,GRJCJS_GRZHDNGJYE_std,93.0
15,621,GRJCJS_YEARPURINCM_std,92.0
16,3373,numsOf_GRZHDNGJYE_YEARPURINCM_div,91.0
17,402,GRZHZT_GRZHYE_mean,90.0
18,591,GRJCJS_GRZHDNGJYE_GRZHSNJZYE1_std,88.0
19,631,GRJCJS_HDSYYF_std,88.0
20,130,DWJJLX_GRZHDNGJYE_sum,87.0
21,626,GRJCJS_HDZYF_std,85.0
22,1021,GRYJCE_DKFFE_DKY_multi_DKLL_std,84.0
23,3161,numsOf_GRZHYE_GRZHDNGJYE_div,84.0
24,636,GRJCJS_HDYF_std,82.0
25,566,GRJCJS_DKYE_std,79.0
26,1051,GRYJCE_GRZHYE_diff_GRZHDNGJYE_std,79.0
27,586,GRJCJS_GRZHDNGJYE_GRZHSNJZYE_std,79.0
28,635,GRJCJS_HDYF_mean,78.0
29,869,GRZHDNGJYE_GRJCJS_sum,78.0
30,3789,numsOf_GRZHDNGJYE_GRZHSNJZYE_GRZHYE_diff_GRZHSNJZYE_div,77.0
31,3446,numsOf_GRYJCE_HDZYF_add,77.0
32,1041,GRYJCE_DKFFE_multi_DKLL_ratio_std,76.0
33,112,DWSSHY_GRZHZT_count,75.0
34,561,GRJCJS_DKFFE_std,73.0
35,550,GRJCJS_GRZHDNGJYE_mean,72.0
36,1059,GRYJCE_YEARPURINCM_sum,72.0
37,1061,GRYJCE_YEARPURINCM_std,72.0
38,995,GRYJCE_GRZHDNGJYE_mean,72.0
39,614,GRJCJS_GRZHYE_diff_GRZHSNJZYE_sum,71.0
40,558,GRJCJS_GRYJCE_min,71.0
41,996,GRYJCE_GRZHDNGJYE_std,71.0
42,1056,GRYJCE_GRZHYE_diff_GRZHSNJZYE_std,70.0
