,index,column,importance
0,243,numsOf_GRJCJS_GRYJCE_div,2144.0
1,6,DWJJLX_in_DWSSHY_prop,1669.0
2,271,numsOf_GRZHDNGJYE_YEARPURINCM_div,1382.0
3,5,DWJJLX_DWSSHY_count,1188.0
4,0,DWSSHY,1151.0
5,192,USAGE_AMOUNT_HDYF_sum,1090.0
6,7,DWSSHY_in_DWJJLX_prop,1081.0
7,181,HDZYFZE_WITHDRAW_SUBMIT_std,1067.0
8,182,USAGE_RATE_GJJRATE_std,1067.0
9,178,HDZYFZE_USAGE_RATE_std,1015.0
10,247,numsOf_GRZHYE_GRZHDNGJYE_div,1006.0
11,189,USAGE_AMOUNT_GRZHDNGJYE_std,981.0
12,242,numsOf_GRJCJS_GRZHDNGJYE_div,981.0
13,188,USAGE_AMOUNT_GRZHSNJZYE_std,964.0
14,255,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,935.0
15,258,numsOf_GRZHSNJZYE_YEARPURINCM_div,910.0
16,304,numsOf_USAGE_RATE_USAGE_AMOUNT_multi,903.0
17,293,numsOf_HDZYF_DKXE_multi,899.0
18,190,USAGE_AMOUNT_YEARPURINCM_sum,891.0
19,284,numsOf_DKLL_USAGE_RATE_add,888.0
20,193,USAGE_AMOUNT_HDYF_max,887.0
21,194,USAGE_AMOUNT_WITHDRAW_std,855.0
22,191,USAGE_AMOUNT_YEARPURINCM_mean,854.0
23,218,DKXE_HDZYF_min,842.0
24,246,numsOf_GRZHYE_GRZHSNJZYE_div,838.0
25,299,numsOf_HDZYFZE_USAGE_AMOUNT_add,836.0
26,241,numsOf_GRJCJS_GRZHDNGJYE_diff,830.0
27,82,GRJCJS_TOP_USER_std,814.0
28,285,numsOf_DKLL_USAGE_RATE_diff,812.0
29,78,GRJCJS_USAGE_RATE_std,806.0
30,296,numsOf_HDYF_TOP_USER1_div,799.0
31,302,numsOf_HDZYFZE_DKXE_div,777.0
32,180,HDZYFZE_GJJRATE_std,773.0
33,248,numsOf_GRZHYE_HDYF_multi,772.0
34,37,DWSSHY_TOP_USER_std,769.0
35,167,HDZYF_YEARPURINCM_sum,767.0
36,56,GRJCJS_DKYE_std,764.0
37,183,WITHDRAW_GRJCJS_max,764.0
38,308,numsOf_GJJRATE_DKXE_multi,763.0
39,45,GRJCJS_GRZHSNJZYE_std,763.0
40,122,GRYJCE_DKYE_std,761.0
41,257,numsOf_GRZHSNJZYE_YEARPURINCM_diff,761.0
42,256,numsOf_GRZHSNJZYE_YEARPURINCM_add,756.0
43,208,DKXE_GRYJCE_sum,753.0
