,index,column,importance
0,1291,numsOf_GRJCJS_GRYJCE_div,1479.0
1,31,DWJJLX_in_DWSSHY_prop,956.0
2,1,DWSSHY,762.0
3,1362,numsOf_GRZHDNGJYE_YEARPURINCM_div,695.0
4,30,DWJJLX_DWSSHY_count,631.0
5,32,DWSSHY_in_DWJJLX_prop,550.0
6,1399,numsOf_GRYJCE_DKXE_multi,484.0
7,269,GRJCJS_GRZHSNJZYE_std,442.0
8,1335,numsOf_GRZHSNJZYE_YEARPURINCM_div,439.0
9,285,GRJCJS_YEARPURINCM_std,423.0
10,313,GRJCJS_TOP_USER_std,413.0
11,1289,numsOf_GRJCJS_GRZHDNGJYE_div,412.0
12,10,DWJJLX_6,411.0
13,288,GRJCJS_HDZYF_std,408.0
14,305,GRJCJS_USAGE_RATE_std,401.0
15,278,GRJCJS_DKYE_std,393.0
16,1302,numsOf_GRZHYE_GRZHDNGJYE_div,386.0
17,524,GRYJCE_DKYE_std,385.0
18,189,GRZHZT_WITHDRAW_std,382.0
19,517,GRYJCE_GRZHSNJZYE_std,371.0
20,291,GRJCJS_HDSYYF_std,368.0
21,47,XINGBIE_in_DWSSHY_prop,364.0
22,335,GRJCJS_DKXE_std,364.0
23,1442,numsOf_HDZYF_DKXE_multi,361.0
24,330,GRJCJS_WITHDRAW_SUBMIT_std,358.0
25,265,GRJCJS_GRZHYE_std,350.0
26,294,GRJCJS_HDYF_std,348.0
27,531,GRYJCE_YEARPURINCM_std,345.0
28,55,DWSSHY_GJJRATE_count,344.0
29,582,GRYJCE_DKXE_std,342.0
30,1382,numsOf_GRYJCE_YEARPURINCM_div,341.0
31,1329,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,340.0
32,1361,numsOf_GRZHDNGJYE_YEARPURINCM_multi,339.0
33,284,GRJCJS_YEARPURINCM_mean,331.0
34,560,GRYJCE_TOP_USER_std,330.0
35,1527,numsOf_GJJRATE_DKXE_multi,328.0
36,317,GRJCJS_TOP_USER1_std,324.0
37,529,GRYJCE_YEARPURINCM_sum,318.0
38,1218,DKXE_YEARPURINCM_sum,318.0
39,286,GRJCJS_YEARPURINCM_max,317.0
40,1487,numsOf_HDZYFZE_DKXE_div,317.0
41,2,age,312.0
42,534,GRYJCE_HDZYF_std,307.0
43,326,GRJCJS_USAGE_AMOUNT_std,306.0
44,280,GRJCJS_DKLL_std,306.0
45,526,GRYJCE_DKLL_std,305.0
46,513,GRYJCE_GRZHYE_std,305.0
47,3,bornmonth,304.0
48,1224,DKXE_HDZYF_min,303.0
49,300,GRJCJS_HDSYYFZE_mean,300.0
50,530,GRYJCE_YEARPURINCM_mean,297.0
51,33,DWJJLX_XINGBIE_count,297.0
52,289,GRJCJS_HDZYF_min,296.0
53,277,GRJCJS_DKFFE_std,296.0
54,564,GRYJCE_TOP_USER1_std,296.0
55,1067,WITHDRAW_DKXE_min,295.0
56,264,GRJCJS_GRZHYE_mean,295.0
57,1252,DKXE_TOP_USER_std,295.0
58,1528,numsOf_GJJRATE_DKXE_div,293.0
59,273,GRJCJS_GRZHDNGJYE_std,293.0
60,1332,numsOf_GRZHSNJZYE_YEARPURINCM_add,292.0
61,38,DWJJLX_GJJRATE_count,292.0
62,1403,numsOf_DKYE_YEARPURINCM_div,292.0
63,1300,numsOf_GRZHYE_GRZHSNJZYE_div,291.0
64,57,GJJRATE_in_DWSSHY_prop,290.0
65,99,DWJJLX_GRZHDNGJYE_sum,289.0
66,539,GRYJCE_HDYF_std,283.0
67,283,GRJCJS_YEARPURINCM_sum,282.0
68,550,GRYJCE_USAGE_RATE_std,280.0
69,50,DWSSHY_TOP_USER_count,279.0
70,516,GRYJCE_GRZHSNJZYE_mean,278.0
71,51,DWSSHY_in_TOP_USER_prop,276.0
72,53,DWSSHY_WITHSIGN_count,276.0
73,1211,DKXE_GRYJCE_min,275.0
74,523,GRYJCE_DKFFE_std,275.0
75,321,GRJCJS_WITHDRAW_std,274.0
76,1400,numsOf_GRYJCE_DKXE_div,272.0
77,56,DWSSHY_in_GJJRATE_prop,271.0
78,545,GRYJCE_HDSYYFZE_mean,271.0
79,538,GRYJCE_HDYF_mean,268.0
80,325,GRJCJS_USAGE_AMOUNT_mean,267.0
81,691,HDZYF_GRJCJS_max,267.0
82,535,GRYJCE_HDZYF_min,266.0
83,168,DWSSHY_TOP_USER_std,265.0
84,1309,numsOf_GRZHYE_HDYF_multi,265.0
85,304,GRJCJS_USAGE_RATE_mean,264.0
86,336,GRJCJS_DKXE_max,263.0
87,532,GRYJCE_YEARPURINCM_max,262.0
88,309,GRJCJS_GJJRATE_std,261.0
89,1221,DKXE_YEARPURINCM_max,261.0
90,268,GRJCJS_GRZHSNJZYE_mean,260.0
91,293,GRJCJS_HDYF_mean,258.0
92,1338,numsOf_GRZHSNJZYE_HDYF_multi,257.0
93,764,HDZYF_DKXE_max,256.0
94,583,GRYJCE_DKXE_max,256.0
95,1482,numsOf_HDZYFZE_USAGE_AMOUNT_add,256.0
96,1455,numsOf_HDSYYF_WITHDRAW_SUBMIT_div,255.0
97,295,GRJCJS_HDYF_min,253.0
98,333,GRJCJS_DKXE_sum,252.0
99,521,GRYJCE_GRZHDNGJYE_std,252.0
100,572,GRYJCE_USAGE_AMOUNT_std,252.0
101,272,GRJCJS_GRZHDNGJYE_mean,249.0
102,320,GRJCJS_WITHDRAW_mean,246.0
103,1436,numsOf_YEARPURINCM_WITHDRAW_SUBMIT_multi,246.0
104,519,GRYJCE_GRZHSNJZYE_min,245.0
105,270,GRJCJS_GRZHSNJZYE_max,244.0
106,1390,numsOf_GRYJCE_GJJRATE_multi,243.0
107,536,GRYJCE_HDSYYF_std,242.0
108,1098,USAGE_AMOUNT_HDYF_sum,242.0
109,271,GRJCJS_GRZHSNJZYE_min,241.0
110,302,GRJCJS_HDSYYFZE_max,241.0
111,276,GRJCJS_GRYJCE_min,241.0
112,709,HDZYF_YEARPURINCM_sum,240.0
113,854,HDZYFZE_USAGE_RATE_std,240.0
114,1486,numsOf_HDZYFZE_DKXE_multi,240.0
115,329,GRJCJS_WITHDRAW_SUBMIT_mean,239.0
